scenario,supplier_id,supplier_name,disruption_days,demand_spike,sku_id,product_name,category,current_stock,avg_daily_demand,days_to_stockout,stockout_occurs,days_without_stock,units_short,revenue_at_risk_inr,emergency_cost_inr,urgency_level,recommended_action
Scenario B: Diwali Spike 1.8x Demand (14 days),SUP001,Agro Fresh Pvt Ltd,14,1.8,SKU004,Wheat Flour 10kg,Staples,298.0,33.5,8.9,True,5.1,171.0,64542.24,45892.12,WATCH,"🟡 Monitor — Will run low, plan alternative"
Scenario B: Diwali Spike 1.8x Demand (14 days),SUP001,Agro Fresh Pvt Ltd,14,1.8,SKU001,Basmati Rice 5kg,Staples,396.0,34.2,11.6,True,2.4000000000000004,82.0,27040.32,23929.65,WATCH,"🟡 Monitor — Will run low, plan alternative"
Scenario B: Diwali Spike 1.8x Demand (14 days),SUP001,Agro Fresh Pvt Ltd,14,1.8,SKU007,Sugar 1kg,Staples,306.0,33.1,9.3,True,4.699999999999999,155.0,25761.0,20252.69,WATCH,"🟡 Monitor — Will run low, plan alternative"
Scenario B: Diwali Spike 1.8x Demand (14 days),SUP001,Agro Fresh Pvt Ltd,14,1.8,SKU010,Sooji 500g,Staples,456.0,33.6,13.6,True,0.40000000000000036,13.0,4978.74,3551.6,WATCH,"🟡 Monitor — Will run low, plan alternative"
Scenario B: Diwali Spike 1.8x Demand (14 days),SUP001,Agro Fresh Pvt Ltd,14,1.8,SKU003,Chana Dal 1kg,Staples,345.0,33.7,10.2,True,3.8000000000000007,128.0,16229.12,14020.8,WATCH,"🟡 Monitor — Will run low, plan alternative"
Scenario B: Diwali Spike 1.8x Demand (14 days),SUP001,Agro Fresh Pvt Ltd,14,1.8,SKU005,Mustard Oil 1L,Staples,221.0,33.2,6.6,True,7.4,246.0,55406.58,40869.82,CRITICAL,🔴 CRITICAL — Emergency procurement needed NOW
Scenario B: Diwali Spike 1.8x Demand (14 days),SUP001,Agro Fresh Pvt Ltd,14,1.8,SKU008,Salt 1kg,Staples,188.0,33.5,5.6,True,8.4,281.0,135739.86,96140.64,CRITICAL,🔴 CRITICAL — Emergency procurement needed NOW
Scenario B: Diwali Spike 1.8x Demand (14 days),SUP001,Agro Fresh Pvt Ltd,14,1.8,SKU006,Sunflower Oil 1L,Staples,296.0,33.9,8.7,True,5.300000000000001,180.0,69962.4,55698.75,WATCH,"🟡 Monitor — Will run low, plan alternative"
Scenario C: Dual Failure — GreenLeaf + DrinkWell (30 days),SUP006,GreenLeaf Essentials,30,1.0,SKU012,Neem Face Wash 100ml,Personal Care,254.0,10.7,23.6,True,6.399999999999999,69.0,25096.68,18261.71,WATCH,"🟡 Monitor — Will run low, plan alternative"
Scenario C: Dual Failure — GreenLeaf + DrinkWell (30 days),SUP006,GreenLeaf Essentials,30,1.0,SKU015,Turmeric Soap 100g,Personal Care,206.0,11.0,18.7,True,11.3,124.0,57614.12,38009.1,WATCH,"🟡 Monitor — Will run low, plan alternative"
Scenario C: Dual Failure — GreenLeaf + DrinkWell (30 days),SUP006,GreenLeaf Essentials,30,1.0,SKU011,Cold Press Coconut Oil 500ml,Personal Care,184.0,10.5,17.4,True,12.600000000000001,133.0,94422.02,62362.04,WATCH,"🟡 Monitor — Will run low, plan alternative"
Scenario C: Dual Failure — GreenLeaf + DrinkWell (30 days),SUP006,GreenLeaf Essentials,30,1.0,SKU016,Rose Water 200ml,Personal Care,196.0,10.8,18.2,True,11.8,127.0,80018.89,54914.8,WATCH,"🟡 Monitor — Will run low, plan alternative"
Scenario C: Dual Failure — GreenLeaf + DrinkWell (30 days),SUP006,GreenLeaf Essentials,30,1.0,SKU017,Hair Oil 200ml,Personal Care,243.0,10.6,22.9,True,7.100000000000001,75.0,46297.5,36156.56,WATCH,"🟡 Monitor — Will run low, plan alternative"
Scenario C: Dual Failure — GreenLeaf + DrinkWell (30 days),SUP006,GreenLeaf Essentials,30,1.0,SKU020,Face Scrub 100g,Personal Care,113.0,10.8,10.4,True,19.6,212.0,125425.56,97125.15,CRITICAL,🔴 CRITICAL — Emergency procurement needed NOW
Scenario C: Dual Failure — GreenLeaf + DrinkWell (30 days),SUP006,GreenLeaf Essentials,30,1.0,SKU018,Body Lotion 300ml,Personal Care,231.0,10.5,22.0,True,8.0,84.0,26351.64,19967.85,WATCH,"🟡 Monitor — Will run low, plan alternative"
Scenario C: Dual Failure — GreenLeaf + DrinkWell (30 days),SUP006,GreenLeaf Essentials,30,1.0,SKU013,Herbal Shampoo 200ml,Personal Care,133.0,10.2,13.1,True,16.9,172.0,70800.36,51006.6,CRITICAL,🔴 CRITICAL — Emergency procurement needed NOW
Scenario C: Dual Failure — GreenLeaf + DrinkWell (30 days),SUP006,GreenLeaf Essentials,30,1.0,SKU019,Lip Balm 10g,Personal Care,141.0,10.6,13.3,True,16.7,178.0,56239.1,46148.72,CRITICAL,🔴 CRITICAL — Emergency procurement needed NOW
Scenario C: Dual Failure — GreenLeaf + DrinkWell (30 days),SUP006,GreenLeaf Essentials,30,1.0,SKU014,Aloe Vera Gel 150g,Personal Care,213.0,10.7,19.9,True,10.100000000000001,108.0,51503.04,43336.35,WATCH,"🟡 Monitor — Will run low, plan alternative"
Scenario C: Dual Failure — GreenLeaf + DrinkWell (30 days),SUP012,DrinkWell Co,30,1.0,SKU031,Green Tea 100 bags,Beverages,244.0,12.8,19.0,True,11.0,141.0,61136.19,46475.36,WATCH,"🟡 Monitor — Will run low, plan alternative"
Scenario C: Dual Failure — GreenLeaf + DrinkWell (30 days),SUP012,DrinkWell Co,30,1.0,SKU033,Turmeric Latte 200g,Beverages,180.0,13.0,13.8,True,16.2,211.0,130195.44,86153.94,CRITICAL,🔴 CRITICAL — Emergency procurement needed NOW
Scenario C: Dual Failure — GreenLeaf + DrinkWell (30 days),SUP012,DrinkWell Co,30,1.0,SKU037,Herbal Juice 1L,Beverages,187.0,13.2,14.1,True,15.9,210.0,39727.8,32836.12,CRITICAL,🔴 CRITICAL — Emergency procurement needed NOW
Scenario C: Dual Failure — GreenLeaf + DrinkWell (30 days),SUP012,DrinkWell Co,30,1.0,SKU039,Rose Sherbet 750ml,Beverages,168.0,13.3,12.7,True,17.3,230.0,148382.2,101363.87,CRITICAL,🔴 CRITICAL — Emergency procurement needed NOW
Scenario C: Dual Failure — GreenLeaf + DrinkWell (30 days),SUP012,DrinkWell Co,30,1.0,SKU032,Masala Chai Premix 500g,Beverages,188.0,13.2,14.3,True,15.7,206.0,49938.52,41055.8,CRITICAL,🔴 CRITICAL — Emergency procurement needed NOW
Scenario C: Dual Failure — GreenLeaf + DrinkWell (30 days),SUP012,DrinkWell Co,30,1.0,SKU035,Protein Shake Mix 500g,Beverages,182.0,12.8,14.3,True,15.7,200.0,137846.0,92417.5,CRITICAL,🔴 CRITICAL — Emergency procurement needed NOW
Scenario C: Dual Failure — GreenLeaf + DrinkWell (30 days),SUP012,DrinkWell Co,30,1.0,SKU040,Aam Panna Mix 400g,Beverages,247.0,13.0,19.1,True,10.899999999999999,141.0,39551.91,30096.45,WATCH,"🟡 Monitor — Will run low, plan alternative"
Scenario C: Dual Failure — GreenLeaf + DrinkWell (30 days),SUP012,DrinkWell Co,30,1.0,SKU038,Coconut Water 200ml,Beverages,148.0,12.9,11.4,True,18.6,241.0,88169.85,78520.81,CRITICAL,🔴 CRITICAL — Emergency procurement needed NOW
Scenario C: Dual Failure — GreenLeaf + DrinkWell (30 days),SUP012,DrinkWell Co,30,1.0,SKU034,Instant Coffee 100g,Beverages,252.0,13.3,19.0,True,11.0,146.0,30420.56,23219.48,WATCH,"🟡 Monitor — Will run low, plan alternative"
Scenario C: Dual Failure — GreenLeaf + DrinkWell (30 days),SUP012,DrinkWell Co,30,1.0,SKU036,Electrolyte Powder 200g,Beverages,263.0,13.2,19.9,True,10.100000000000001,133.0,47491.64,34199.29,WATCH,"🟡 Monitor — Will run low, plan alternative"
